word,length,frequency
何处,2,149187
万里,2,136160
不知,2,129808
春风,2,110916
白云,2,102555
千里,2,100224
今日,2,94952
明月,2,70472
不得,2,57018
不见,2,55272
无人,2,53156
人间,2,52689
故人,2,52662
秋风,2,50945
白日,2,50172
青山,2,48498
悠悠,2,44464
惆怅,2,42275
相思,2,35088
何人,2,34780
长安,2,34241
少年,2,33825
黄金,2,33600
江上,2,31174
相逢,2,30816
平生,2,30569
寂寞,2,29925
落日,2,29904
如何,2,28980
日月,2,28014
流水,2,27715
天地,2,27208
烟霞,2,27040
天下,2,25740
不如,2,25132
将军,2,24386
主人,2,24012
芳草,2,23868
天子,2,23670
参差,2,23310
风雨,2,22774
回首,2,22080
行人,2,21827
清风,2,21112
可怜,2,21060
无事,2,20979
月明,2,20976
十年,2,20944
何事,2,20821
不能,2,20787
夕阳,2,20440
归去,2,19968
当时,2,19642
天涯,2,19285
何时,2,19224
此时,2,18906
东风,2,18876
春色,2,18512
谁能,2,18354
江南,2,18034
青云,2,17935
山川,2,17856
白发,2,17856
芙蓉,2,17850
年年,2,17594
杨柳,2,17264
今朝,2,17240
从此,2,17010
天上,2,16480
此地,2,16384
终日,2,16104
归来,2,16050
南山,2,15980
落花,2,15575
千年,2,15561
风流,2,15355
山中,2,15222
处处,2,15048
草木,2,15015
风吹,2,15015
浮云,2,14960
洛阳,2,14670
门前,2,14632
不敢,2,14490
桃花,2,14212
君子,2,14152
自有,2,14100
洞庭,2,14061
别离,2,13800
先生,2,13780
不是,2,13760
文章,2,13572
分明,2,13524
一声,2,13193
君王,2,13091
东西,2,12986
寂寥,2,12876
桃李,2,12684
殷勤,2,12444
相见,2,12201
神仙,2,11970
尽日,2,11891
萧条,2,11844
花落,2,11799
日暮,2,11780
苍苍,2,11700
有时,2,11605
美人,2,11400
三年,2,11343
一枝,2,11264
此中,2,11242
沧海,2,11115
白头,2,11100
山水,2,11009
花开,2,10676
不堪,2,10614
乾坤,2,10584
无限,2,10560
故园,2,10500
山下,2,10403
萧萧,2,10368
为君,2,10290
车马,2,10224
无心,2,10010
不觉,2,9933
鸳鸯,2,9676
故乡,2,9646
三十,2,9576
楼台,2,9563
至今,2,9548
与君,2,9520
世间,2,9106
不及,2,9044
空山,2,9009
孤舟,2,8964
林下,2,8932
几时,2,8927
四海,2,8883
使君,2,8774
旌旗,2,8760
日日,2,8595
裴回,2,8496
秋水,2,8436
江湖,2,8400
云雨,2,8374
何如,2,8360
百年,2,8344
风尘,2,8330
春草,2,8316
茫茫,2,8268
出门,2,8225
何由,2,8208
逍遥,2,8162
千载,2,8140
纷纷,2,8136
不可,2,8073
海上,2,8023
年少,2,8004
一身,2,7986
自然,2,7980
无因,2,7824
不为,2,7770
笙歌,2,7760
离别,2,7650
往来,2,7590
山色,2,7560
谁家,2,7560
夜深,2,7548
唯有,2,7518
一夜,2,7400
三千,2,7326
江山,2,7200
新诗,2,7150
一朝,2,7120
古人,2,7056
世人,2,7000
寂寂,2,6888
一日,2,6875
潇湘,2,6873
不用,2,6811
依依,2,6786
为我,2,6708
尘埃,2,6630
归路,2,6624
十二,2,6596
东南,2,6588
一片,2,6576
岂无,2,6566
不须,2,6545
歌舞,2,6498
门外,2,6498
蓬莱,2,6490
何曾,2,6480
山河,2,6480
池上,2,6480
秋色,2,6474
此身,2,6438
春来,2,6432
不复,2,6399
白首,2,6396
人事,2,6390
知音,2,6308
才子,2,6307
青春,2,6300
西风,2,6273
公子,2,6240
携手,2,6195
题诗,2,6095
风光,2,6084
零落,2,6072
更无,2,6045
太守,2,6039
纵横,2,6035
衣裳,2,6030
昨夜,2,6014
颜色,2,6006
王孙,2,5989
落叶,2,5974
临水,2,5925
扁舟,2,5883
草堂,2,5846
半夜,2,5822
看花,2,5782
草色,2,5762
万古,2,5712
去年,2,5680
谁知,2,5676
秋月,2,5624
南国,2,5612
未得,2,5589
青青,2,5550
时节,2,5544
仙人,2,5500
人家,2,5472
花枝,2,5472
佳人,2,5445
潺湲,2,5390
登临,2,5390
白雪,2,5390
天台,2,5360
一时,2,5346
谢公,2,5332
焚香,2,5291
江海,2,5270
春光,2,5238
昨日,2,5238
东山,2,5220
汉家,2,5200
秋草,2,5184
月中,2,5160
北风,2,5141
犹在,2,5096
岁月,2,5074
江边,2,5074
故国,2,5040
造化,2,5025
诸侯,2,5005
何日,2,4998
幽人,2,4995
蹉跎,2,4988
烟波,2,4968
高楼,2,4964
沈沈,2,4959
楼上,2,4945
怅望,2,4920
不同,2,4880
眼前,2,4860
来往,2,4859
未知,2,4845
故山,2,4838
是非,2,4824
碧云,2,4819
明朝,2,4818
沧洲,2,4761
漠漠,2,4750
送君,2,4746
为客,2,4740
明日,2,4725
人心,2,4697
安得,2,4686
未能,2,4680
黄昏,2,4653
远山,2,4640
无情,2,4628
夜来,2,4625
一曲,2,4620
别后,2,4602
清光,2,4590
凉风,2,4588
无由,2,4576
早晚,2,4576
花发,2,4505
残阳,2,4500
野人,2,4500
何以,2,4495
波涛,2,4488
关山,2,4480
江水,2,4480
经过,2,4480
相对,2,4466
风景,2,4429
几年,2,4428
风烟,2,4424
相送,2,4420
南北,2,4410
迢迢,2,4410
风月,2,4410
富贵,2,4408
何年,2,4403
管弦,2,4400
蛾眉,2,4366
五湖,2,4352
山上,2,4347
芳菲,2,4331
云山,2,4320
孤云,2,4320
朱门,2,4318
几回,2,4312
伤心,2,4300
寒食,2,4300
寒山,2,4293
几处,2,4290
淹留,2,4288
如此,2,4284
时人,2,4230
云中,2,4221
一生,2,4205
孤城,2,4182
白露,2,4182
江城,2,4180
四时,2,4171
黄河,2,4160
夫子,2,4158
兄弟,2,4136
无端,2,4128
千峰,2,4116
